,created_date,project,campaign,unitname,reqnum,attnum,pfw_attempt_id,status_orig,data_state,operator,pipeline,start_time,end_time,total time,target_site,submit_site,exec_host,status,propid,expnum,band,nite,db,assessment,program,t_eff,b_eff,c_eff,f_eff,total_time
495,2019-05-02 11:37:26.975953,ACT,Y5A1_MOF,DES0020+0335,4303,18,2664715,5.0,JUNK,mjohns44,multiepoch,2019-05-02 11:37:35.090484,,,bluewaters,descmp2,,5.0,,,,,desoper,None,None,None,None,None,None,
214,2019-05-01 08:58:11.053737,ACT,Y5A1_MOF,DES0020+0335,4303,17,2661715,0.0,NEW,mjohns44,multiepoch,2019-05-01 08:58:22.014730,2019-05-02 08:52:20.000000,23.899,bluewaters,descmp2,nid12608,0.0,,,,,desoper,None,None,None,None,None,None,23.899
762,2019-04-30 10:50:13.928467,ACT,Y5A1_MOF,DES0020+0335,4303,16,2660715,1.0,NEW,mjohns44,multiepoch,2019-04-30 10:50:21.323716,2019-05-01 02:06:33.000000,15.27,bluewaters,descmp2,nid01318,1.0,,,,,desoper,None,None,None,None,None,None,15.27
347,2019-04-30 08:56:25.303674,ACT,Y5A1_MOF,DES0020+0335,4303,15,2659715,1.0,NEW,mjohns44,multiepoch,2019-04-30 08:56:33.213689,2019-04-30 09:14:28.000000,0.299,bluewaters,descmp2,nid08243,1.0,,,,,desoper,None,None,None,None,None,None,0.299
1015,2019-04-26 16:05:09.405875,ACT,Y5A1_MOF,DES0020+0335,4303,14,2653911,1.0,NEW,mjohns44,multiepoch,2019-04-26 16:05:16.090371,2019-04-26 16:20:21.000000,0.251,bluewaters,descmp2,nid24315,1.0,,,,,desoper,None,None,None,None,None,None,0.251
75,2019-04-26 11:48:10.234718,ACT,Y5A1_MOF,DES0020+0335,4303,10,2653901,8.0,NEW,mjohns44,multiepoch,2019-04-26 11:48:17.080269,2019-04-26 14:12:27.000000,2.403,bluewaters,descmp2,nid01314,8.0,,,,,desoper,None,None,None,None,None,None,2.403
927,2019-04-26 09:43:04.278406,ACT,Y5A1_MOF,DES0020+0335,4303,9,2653897,5.0,JUNK,mjohns44,multiepoch,2019-04-26 09:43:11.254242,,,bluewaters,descmp2,,5.0,,,,,desoper,None,None,None,None,None,None,
251,2019-04-25 15:36:15.116634,ACT,Y5A1_MOF,DES0020+0335,4303,8,2653849,1.0,NEW,mjohns44,multiepoch,2019-04-25 15:36:22.019895,2019-04-25 17:08:53.000000,1.542,bluewaters,descmp2,nid19413,1.0,,,,,desoper,None,None,None,None,None,None,1.542
402,2019-04-25 13:59:38.960107,ACT,Y5A1_MOF,DES0020+0335,4303,7,2655726,1.0,NEW,mjohns44,multiepoch,2019-04-25 13:59:42.083646,2019-04-25 14:38:44.000000,0.651,bluewaters,descmp2,nid24031,1.0,,,,,desoper,None,None,None,None,None,None,0.651
807,2019-04-25 10:30:43.011326,ACT,Y5A1_MOF,DES0020+0335,4303,6,2655719,1.0,NEW,mjohns44,multiepoch,2019-04-25 10:30:50.565492,2019-04-25 10:44:39.000000,0.23,bluewaters,descmp2,nid26864,1.0,,,,,desoper,None,None,None,None,None,None,0.23
400,2019-04-25 10:19:54.604235,ACT,Y5A1_MOF,DES0020+0335,4303,5,2653842,1.0,NEW,mjohns44,multiepoch,2019-04-25 10:20:01.361100,2019-04-25 10:28:42.000000,0.145,bluewaters,descmp2,nid26864,1.0,,,,,desoper,None,None,None,None,None,None,0.145
401,2019-04-25 10:12:53.093548,ACT,Y5A1_MOF,DES0020+0335,4303,4,2655718,1.0,NEW,mjohns44,multiepoch,2019-04-25 10:13:00.106269,2019-04-25 10:14:55.000000,0.032,bluewaters,descmp2,nid19745,1.0,,,,,desoper,None,None,None,None,None,None,0.032
128,2019-04-25 09:30:39.899839,ACT,Y5A1_MOF,DES0020+0335,4303,3,2655716,1.0,NEW,mjohns44,multiepoch,2019-04-25 09:30:47.610709,2019-04-25 09:43:40.000000,0.215,bluewaters,descmp2,nid19745,1.0,,,,,desoper,None,None,None,None,None,None,0.215
129,2019-04-23 14:22:47.548162,ACT,Y5A1_MOF,DES0020+0335,4303,2,2651940,8.0,NEW,mjohns44,multiepoch,2019-04-23 14:22:55.876065,2019-04-24 16:24:28.000000,26.026,bluewaters,descmp2,nid01472,8.0,,,,,desoper,None,None,None,None,None,None,26.026
928,2019-04-23 10:37:23.767433,ACT,Y5A1_MOF,DES0020+0335,4303,1,2651931,5.0,JUNK,mjohns44,multiepoch,2019-04-23 10:37:31.135788,,,bluewaters,descmp2,,5.0,,,,,desoper,None,None,None,None,None,None,
